,Course Code,course_title,course_code,keywords,Simplified_Title,course_title_l
40,BEVD206P,Semiconductor Device Modelling Lab,BEVD206P : Semiconductor Device Modelling Lab,"['semiconductor device modelling', 'device modelling lab', 'device modelling', 'semiconductor', 'semiconductor device', 'modelling lab', 'modelling', 'lab', 'device']",semiconductor device modelling lab,semiconductor device modelling lab
41,BEVD207L,Computer Architecture,BEVD207L : Computer Architecture,"['computer architecture', 'architecture', 'computer']",computer architecture,computer architecture
42,BEVD301L,ASIC Design,BEVD301L : ASIC Design,"['asic design', 'asic', 'design']",asic design,asic design
43,BEVD301P,ASIC Design Lab,BEVD301P : ASIC Design Lab,"['asic design lab', 'asic design', 'asic', 'design lab', 'lab', 'design']",asic design lab,asic design lab
44,BEVD302L,Principles of Communication Systems,BEVD302L : Principles of Communication Systems,"['principles communication systems', 'communication systems', 'principles communication', 'communication', 'systems', 'principles']",principles communication systems,principles of communication systems
45,BEVD303L,CAD for IC Design,BEVD303L : CAD for IC Design,"['cad ic design', 'cad ic', 'ic design', 'cad', 'ic', 'design']",cad ic design,cad for ic design
46,BEVD304L,CMOS Analog IC Design,BEVD304L : CMOS Analog IC Design,"['cmos analog ic', 'analog ic design', 'cmos analog', 'analog ic', 'cmos', 'ic design', 'analog', 'ic', 'design']",cmos analog ic design,cmos analog ic design
47,BEVD304P,CMOS Analog IC Design Lab,BEVD304P : CMOS Analog IC Design Lab,"['cmos analog ic', 'cmos analog', 'analog ic design', 'analog ic', 'ic design lab', 'cmos', 'ic design', 'analog', 'design lab', 'lab']",cmos analog ic design lab,cmos analog ic design lab
48,BEVD305L,VLSI Technology,BEVD305L : VLSI Technology,"['vlsi technology', 'vlsi', 'technology']",vlsi technology,vlsi technology
49,BEVD305P,VLSI Technology Lab,BEVD305P : VLSI Technology Lab,"['vlsi technology lab', 'vlsi technology', 'vlsi', 'technology lab', 'lab', 'technology']",vlsi technology lab,vlsi technology lab
50,BECE403L,Neuromorphic Computing,BECE403L : Neuromorphic Computing,"['neuromorphic computing', 'neuromorphic', 'computing']",neuromorphic computing,neuromorphic computing
51,BECE404L,Design of CMOS Phase Locked Loop,BECE404L : Design of CMOS Phase Locked Loop,"['phase locked loop', 'cmos phase locked', 'design cmos phase', 'cmos phase', 'design cmos', 'locked loop', 'cmos', 'phase locked', 'locked', 'loop']",design cmos phase locked loop,design of cmos phase locked loop
52,BECE406L,High Speed Interconnects for VLSI Design,BECE406L : High Speed Interconnects for VLSI Design,"['speed interconnects vlsi', 'high speed interconnects', 'interconnects vlsi design', 'speed interconnects', 'interconnects vlsi', 'vlsi design', 'vlsi', 'interconnects', 'high speed', 'speed']",high speed interconnects vlsi design,high speed interconnects for vlsi design
53,BECE407L,Stacked IC Design,BECE407L : Stacked IC Design,"['stacked ic design', 'stacked ic', 'ic design', 'stacked', 'ic', 'design']",stacked ic design,stacked ic design
54,BECE409L,Advanced Semiconductor Devices,BECE409L : Advanced Semiconductor Devices,"['advanced semiconductor devices', 'advanced semiconductor', 'semiconductor devices', 'semiconductor', 'devices', 'advanced']",advanced semiconductor devices,advanced semiconductor devices
55,BEVD208L,2D Materials and Devices,BEVD208L : 2D Materials and Devices,"['2d materials devices', '2d materials', 'materials devices', 'materials', '2d', 'devices']",2d materials devices,2d materials and devices
56,BEVD209L,Compound Semiconductors,BEVD209L : Compound Semiconductors,"['compound semiconductors', 'semiconductors', 'compound']",compound semiconductors,compound semiconductors
57,BEVD210L,Quantum Technology for Electronics Engineers,BEVD210L : Quantum Technology for Electronics Engineers,"['quantum technology electronics', 'quantum technology', 'quantum', 'technology electronics', 'electronics engineers', 'technology electronics engineers', 'electronics', 'engineers', 'technology']",quantum technology electronics engineers,quantum technology for electronics engineers
58,BEVD211L,Thin Films Characterization,BEVD211L : Thin Films Characterization,"['films characterization', 'characterization', 'films']",thin films characterization,thin films characterization
59,BEVD306L,Photovoltaics and Energy Con- version Devices,BEVD306L : Photovoltaics and Energy Con- version Devices,"['photovoltaics energy version', 'photovoltaics energy', 'photovoltaics', 'energy version devices', 'energy version', 'version devices', 'energy', 'devices', 'version']",photovoltaics energy con version devices,photovoltaics and energy con- version devices
60,BEVD307L,Memory Devices and circuits,BEVD307L : Memory Devices and circuits,"['memory devices circuits', 'memory devices', 'devices circuits', 'memory', 'circuits', 'devices']",memory devices circuits,memory devices and circuits
61,BEVD308L,Low Power VLSI Design,BEVD308L : Low Power VLSI Design,"['low power vlsi', 'vlsi design', 'power vlsi design', 'power vlsi', 'vlsi', 'low power', 'low', 'design', 'power']",low power vlsi design,low power vlsi design
62,BEVD309L,Testing of VLSI Circuits,BEVD309L : Testing of VLSI Circuits,"['testing vlsi circuits', 'testing vlsi', 'vlsi circuits', 'vlsi', 'testing', 'circuits']",testing vlsi circuits,testing of vlsi circuits
63,BEVD310L,Embedded System Design with FPGA,BEVD310L : Embedded System Design with FPGA,"['embedded design fpga', 'design fpga', 'fpga', 'embedded design', 'design', 'embedded']",embedded system design fpga,embedded system design with fpga
64,BEVD311L,VLSI Digital Signal Processing Systems,BEVD311L : VLSI Digital Signal Processing Systems,"['vlsi digital', 'vlsi', 'vlsi digital signal', 'digital signal processing', 'signal processing systems', 'processing systems', 'signal processing', 'digital signal', 'processing', 'digital']",vlsi digital signal processing systems,vlsi digital signal processing systems
65,BEVD312L,Advanced Computer Architecture,BEVD312L : Advanced Computer Architecture,"['advanced computer architecture', 'computer architecture', 'advanced computer', 'advanced', 'architecture', 'computer']",advanced computer architecture,advanced computer architecture
66,BEVD313L,Computational Techniques,BEVD313L : Computational Techniques,"['computational techniques', 'computational', 'techniques']",computational techniques,computational techniques
67,BEVD314L,Mixed Signal Circuit Design,BEVD314L : Mixed Signal Circuit Design,"['mixed signal circuit', 'signal circuit design', 'mixed signal', 'signal circuit', 'circuit design', 'mixed', 'circuit', 'signal', 'design']",mixed signal circuit design,mixed signal circuit design
68,BEVD315L,CMOS RF IC Design,BEVD315L : CMOS RF IC Design,"['cmos rf ic', 'rf ic design', 'cmos rf', 'rf ic', 'cmos', 'ic design', 'rf', 'ic', 'design']",cmos rf ic design,cmos rf ic design
69,BEVD391J,Technical Answers to Real Prob- lems Project,BEVD391J : Technical Answers to Real Prob- lems Project,"['lems project', 'prob lems project', 'technical answers real', 'lems', 'real prob lems', 'technical answers', 'prob lems', 'answers real prob', 'project', 'technical']",technical answers real prob lems project,technical answers to real prob- lems project
70,BEVD392J,Design Project,BEVD392J : Design Project,"['design project', 'design', 'project']",design project,design project
71,BEVD393J,Laboratory Project,BEVD393J : Laboratory Project,"['laboratory project', 'laboratory', 'project']",laboratory project,laboratory project
72,BEVD394J,Product Development Project,BEVD394J : Product Development Project,"['product development project', 'product development', 'development project', 'project', 'product', 'development']",product development project,product development project
73,BEVD396J,Reading Course,BEVD396J : Reading Course,"['reading course', 'reading', 'course']",reading course,reading course
74,BEVD397J,Special Project,BEVD397J : Special Project,"['special project', 'project', 'special']",special project,special project
75,BEVD398J,Simulation Project,BEVD398J : Simulation Project,"['simulation project', 'simulation', 'project']",simulation project,simulation project
76,BEVD401L,Electronics Packaging,BEVD401L : Electronics Packaging,"['electronics packaging', 'packaging', 'electronics']",electronics packaging,electronics packaging
77,BEVD402L,AI and Machine Learning for IC,BEVD402L : AI and Machine Learning for IC,"['machine learning ic', 'learning ic', 'ai machine learning', 'ai machine', 'ai', 'machine learning', 'ic', 'learning', 'machine']",ai machine learning ic,ai and machine learning for ic
78,BEVD399J,Summer Industrial Internship,BEVD399J : Summer Industrial Internship,"['summer industrial internship', 'industrial internship', 'internship', 'summer industrial', 'industrial', 'summer']",summer industrial internship,summer industrial internship
79,BEVD497J,Project - l,BEVD497J : Project - l,['project'],project  l,project - l
80,BEVD498J,Project - II / Internship,BEVD498J : Project - II / Internship,"['project ii internship', 'ii internship', 'internship', 'project ii', 'project', 'ii']",project  ii  internship,project - ii / internship
81,BEVD499J,One Semester Internship,BEVD499J : One Semester Internship,"['semester internship', 'internship', 'semester']",semester internship,one semester internship
82,BECE351E,Internet of Things,BECE351E : Internet of Things,"['internet things', 'internet', 'things']",internet things,internet of things
83,BECE352E,loT Domain Analyst,BECE352E : loT Domain Analyst,"['lot domain analyst', 'lot domain', 'domain analyst', 'domain', 'lot', 'analyst']",lot domain analyst,lot domain analyst
84,BFST213E,Garment Designing and Manufacturing,BFST213E : Garment Designing and Manufacturing,"['garment designing manufacturing', 'garment designing', 'garment', 'designing manufacturing', 'designing', 'manufacturing']",garment designing manufacturing,garment designing and manufacturing
85,BHUM201L,Mass Communication,BHUM201L : Mass Communication,"['mass communication', 'communication', 'mass']",mass communication,mass communication
86,BHUM202L,Rural Development,BHUM202L : Rural Development,"['rural development', 'rural', 'development']",rural development,rural development
87,BHUM203L,Introduction to Psychology,BHUM203L : Introduction to Psychology,"['introduction psychology', 'psychology', 'introduction']",introduction psychology,introduction to psychology
88,BHUM204L,Industrial Psychology,BHUM204L : Industrial Psychology,"['industrial psychology', 'psychology', 'industrial']",industrial psychology,industrial psychology
89,BHUM205L,Development Economics,BHUM205L : Development Economics,"['development economics', 'economics', 'development']",development economics,development economics
90,BHUM206L,International Economics,BHUM206L : International Economics,"['international economics', 'economics', 'international']",international economics,international economics
91,BHUM207L,Engineering Economics,BHUM207L : Engineering Economics,"['engineering economics', 'engineering', 'economics']",engineering economics,engineering economics
92,BHUM208L,Economics of Strategy,BHUM208L : Economics of Strategy,"['economics strategy', 'strategy', 'economics']",economics strategy,economics of strategy
93,BHUM209L,Game Theory,BHUM209L : Game Theory,"['game theory', 'theory', 'game']",game theory,game theory
94,BHUM210E,Econometrics,BHUM210E : Econometrics,['econometrics'],econometrics,econometrics
95,BHUM211L,Behavioral Economics,BHUM211L : Behavioral Economics,"['behavioral economics', 'economics', 'behavioral']",behavioral economics,behavioral economics
96,BHUM212L,Mathematics for Economic Analysis,BHUM212L : Mathematics for Economic Analysis,"['mathematics economic analysis', 'mathematics economic', 'economic analysis', 'mathematics', 'economic', 'analysis']",mathematics economic analysis,mathematics for economic analysis
97,BHUM213L,Corporate Social Responsibility,BHUM213L : Corporate Social Responsibility,"['corporate social responsibility', 'corporate social', 'social responsibility', 'corporate', 'social', 'responsibility']",corporate social responsibility,corporate social responsibility
98,BHUM214L,Political Science,BHUM214L : Political Science,"['political science', 'political', 'science']",political science,political science
99,BHUM215L,International Relations,BHUM215L : International Relations,"['international relations', 'relations', 'international']",international relations,international relations
100,BHUM216L,Indian Culture and Heritage,BHUM216L : Indian Culture and Heritage,"['indian culture heritage', 'indian culture', 'culture heritage', 'heritage', 'indian', 'culture']",indian culture heritage,indian culture and heritage
101,BHUM217L,Contemporary India,BHUM217L : Contemporary India,"['contemporary india', 'india', 'contemporary']",contemporary india,contemporary india
102,BHUM218L,Financial Management,BHUM218L : Financial Management,"['financial management', 'financial', 'management']",financial management,financial management
103,BHUM219L,Principles of Accounting,BHUM219L : Principles of Accounting,"['principles accounting', 'accounting', 'principles']",principles accounting,principles of accounting
104,BHUM220L,Financial Markets and Institutions,BHUM220L : Financial Markets and Institutions,"['financial markets institutions', 'financial markets', 'markets institutions', 'markets', 'financial', 'institutions']",financial markets institutions,financial markets and institutions
105,BHUM221L,"Economics of Money , Banking and Financial Markets","BHUM221L : Economics of Money , Banking and Financial Markets","['economics money banking', 'economics money', 'banking financial markets', 'money banking', 'money banking financial', 'financial markets', 'banking financial', 'banking', 'financial', 'economics']",economics money  banking financial markets,"economics of money , banking and financial markets"
106,BHUM222L,Security Analysis and Portfolio Management,BHUM222L : Security Analysis and Portfolio Management,"['security analysis portfolio', 'analysis portfolio management', 'analysis portfolio', 'portfolio management', 'security analysis', 'portfolio', 'security', 'analysis', 'management']",security analysis portfolio management,security analysis and portfolio management
107,BHUM223L,"Options , Futures and other Derivatives","BHUM223L : Options , Futures and other Derivatives","['options futures derivatives', 'futures derivatives', 'options futures', 'futures', 'derivatives', 'options']",options  futures derivatives,"options , futures and other derivatives"
108,BHUM224L,Fixed Income Securities,BHUM224L : Fixed Income Securities,"['fixed income securities', 'fixed income', 'income securities', 'securities', 'income', 'fixed']",fixed income securities,fixed income securities
109,BHUM225L,Personal Finance,BHUM225L : Personal Finance,"['personal finance', 'finance', 'personal']",personal finance,personal finance
110,BHUM226L,Corporate Finance,BHUM226L : Corporate Finance,"['corporate finance', 'finance', 'corporate']",corporate finance,corporate finance
111,BHUM227L,Financial Statement Analysis,BHUM227L : Financial Statement Analysis,"['financial statement analysis', 'financial statement', 'statement analysis', 'analysis', 'financial', 'statement']",financial statement analysis,financial statement analysis
112,BHUM228L,Cost and Management Accounting,BHUM228L : Cost and Management Accounting,"['cost management accounting', 'management accounting', 'cost management', 'accounting', 'management', 'cost']",cost management accounting,cost and management accounting
113,BHUM229L,"Mind , Embodiment , and Technology","BHUM229L : Mind , Embodiment , and Technology","['mind embodiment', 'mind embodiment technology', 'embodiment technology', 'embodiment', 'technology', 'mind']",mind  embodiment  technology,"mind , embodiment , and technology"
114,BHUM230L,Health Humanities in Biotechnological Era,BHUM230L : Health Humanities in Biotechnological Era,"['health humanities biotechnological', 'humanities biotechnological era', 'humanities biotechnological', 'health humanities', 'biotechnological era', 'humanities', 'biotechnological', 'health', 'era']",health humanities biotechnological era,health humanities in biotechnological era
115,BSTS301P,Advanced Competitive Coding - l,BSTS301P : Advanced Competitive Coding - l,"['advanced competitive coding', 'competitive coding', 'advanced competitive', 'coding', 'competitive', 'advanced']",advanced competitive coding  l,advanced competitive coding - l
116,BSTS302P,Advanced Competitive Coding - II,BSTS302P : Advanced Competitive Coding - II,"['competitive coding ii', 'advanced competitive coding', 'competitive coding', 'coding ii', 'coding', 'advanced competitive', 'competitive', 'advanced', 'ii']",advanced competitive coding  ii,advanced competitive coding - ii
117,BCHY102N,Environmental Sciences,BCHY102N : Environmental Sciences,"['environmental sciences', 'environmental', 'sciences']",environmental sciences,environmental sciences
118,BEVD101N,Introduction to Engineering,BEVD101N : Introduction to Engineering,"['introduction engineering', 'engineering', 'introduction']",introduction engineering,introduction to engineering
119,BEXC100N,Extracurricular Activities,BEXC100N : Extracurricular Activities,"['extracurricular activities', 'extracurricular', 'activities']",extracurricular activities,extracurricular activities
120,BHUM101N,Ethics and Values,BHUM101N : Ethics and Values,"['ethics values', 'ethics', 'values']",ethics values,ethics and values
121,BSSC101N,Essence of Traditional Knowledge,BSSC101N : Essence of Traditional Knowledge,"['traditional knowledge', 'essence traditional knowledge', 'essence traditional', 'knowledge', 'traditional', 'essence']",essence traditional knowledge,essence of traditional knowledge
122,BSSC102N,Indian Constitution,BSSC102N : Indian Constitution,"['indian constitution', 'constitution', 'indian']",indian constitution,indian constitution
