,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,c_title,materials
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BCSE101E : Computer Programming : Python,"['https://youtu.be/8DvywoWv6fI?si=fVK_iTJSpLcdx4dN', 'https://youtu.be/nLRL_NcnK-4?si=KS4ojeii9Q_T8fer', 'https://www.udemy.com/course/automate/', 'https://youtube.com/playlist?list=PLyqSpQzTE6M_Cwf1kmT0kr09kD3_5Kqyj&si=AjLWnkZ8XatptopD', 'https://github.com/anandprems/CPP-Fall-2023-2024']"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
